"","JOURNAL","INDEX","ISSN","2013/2014","2012","2011","2010","2009","2008","ABBREV"
"261","advances in applied mechanics","225","0065-2156","1.2","11.333","5","3","5.5","5","adv appl mech"
"262","advances in applied microbiology","226","0065-2164","2.243","4.974","5.233","3.913","1.86","1.658","adv appl microbiol"
"263","advances in applied microbiology","226","0065-2164","2.243","4.974","5.233","3.913","1.86","1.658","adv appl microbiol"
"264","advances in applied probability","227","0001-8678","0.829","0.9","0.679","0.72","0.852","0.807","adv appl probab"
"265","advances in astronomy","228","1687-7969","1.234","-","-","-","-","-","adv astron"
"266","advances in atmospheric sciences","229","0256-1530","1.459","1.338","0.987","0.925","0.691","0.679","adv atmos sci"
"267","advances in atomic molecular and optical physics","230","1049-250X","3.4","2","-","4.947","3.087","2.762","adv atom mol opt phy"
"268","advances in atomic molecular and optical physics","230","1049-250X","3.4","2","-","4.947","3.087","2.762","adv atom mol opt phy"
"269","advances in biochemical engineering / biotechnology","231","0724-6145","2.6","-","1.644","2.139","4.165","2.569","adv biochem eng biot"
"270","advances in biochemical engineering / biotechnology","231","0724-6145","2.6","-","1.644","2.139","4.165","2.569","adv biochem eng biot"
"271","advances in biophysics","232","0065-227X","-","-","","-","-","-","adv biophys"
"272","advances in botanical research","233","0065-2296","1.74","2.292","2.855","2.319","1.333","-","adv bot res"
"273","advances in botanical research","233","0065-2296","1.74","2.292","2.855","2.319","1.333","-","adv bot res"
"274","advances in calculus of variations","234","1864-8258","0.552","0.545","0.688","0.581","-","-","adv calc var"
"275","advances in cancer research","235","0065-230X","4.255","6.351","-","6.08","4.456","4.721","adv cancer res"
"276","advances in cancer research","235","0065-230X","4.255","6.351","-","6.08","4.456","4.721","adv cancer res"
"277","advances in carbohydrate chemistry and biochemistry","236","0065-2318","3.917","7.133","7.643","3","2.667","3","adv carbohyd chem bi"
"278","advances in carbohydrate chemistry and biochemistry","236","0065-2318","3.917","7.133","7.643","3","2.667","3","adv carbohyd chem bi"
"279","advances in catalysis","237","0360-0564","8.143","5.25","3.667","8.167","3.571","4.812","adv catal"
"280","advances in catalysis","237","0360-0564","8.143","5.25","3.667","8.167","3.571","4.812","adv catal"
"281","advances in cement research","238","0951-7197","0.486","0.754","1.08","0.651","0.756","0.476","adv cem res"
"282","advances in chemical physics","239","0065-2385","2.118","5.25","3.579","-","2.471","-","adv chem phys"
"283","advances in chemical physics","239","0065-2385","2.118","5.25","3.579","-","2.471","-","adv chem phys"
"284","advances in chromatography","240","0065-2415","-","1.526","1.842","-","1.235","2.6","adv chromatogr"
"285","advances in chromatography","240","0065-2415","-","1.526","1.842","-","1.235","2.6","adv chromatogr"
"286","advances in chronic kidney disease","241","1548-5595","1.935","2.029","3.012","1.843","2.415","1.673","adv chronic kidney d"
"287","advances in clinical and experimental medicine","243","1899-5276","0.333","0.293","0.176","-","-","-","adv clin exp med"
"288","advances in clinical chemistry","242","0065-2423","4.302","3.674","3.205","3.263","3.406","3.094","adv clin chem"
"289","advances in clinical chemistry","242","0065-2423","4.302","3.674","3.205","3.263","3.406","3.094","adv clin chem"
"290","advances in colloid and interface science","244","0001-8686","8.636","6.169","8.12","8.651","5.675","5.333","adv colloid interfac"
"291","advances in complex systems","245","0219-5259","0.786","0.647","0.653","1.213","0.723","0.197","adv complex syst"
"292","advances in computational mathematics","248","1019-7168","1.562","1.468","1.488","1.438","1.354","1.148","adv comput math"
"293","advances in computational mathematics","248","1019-7168","1.562","1.468","1.488","1.438","1.354","1.148","lect notes pure appl"
"294","advances in computers","249","0065-2458","0.489","0.389","0.342","0.222","0.393","0.267","adv comput"
"295","advances in computers","249","0065-2458","0.489","0.389","0.342","0.222","0.393","0.267","adv comput"
"296","advances in computers","249","0065-2458","0.489","0.389","0.342","0.222","0.393","0.267","adv comput"
"297","advances in condensed matter physics","250","1687-8108","1.013","1.175","1.158","-","-","-","adv cond matter phys"
"298","advances in data analysis and classification","251","1862-5347","0.919","1.382","0.562","0.581","-","-","adv data anal classi"
"299","advances in difference equations","252","1687-1847","0.634","0.76","0.845","-","-","-","adv differ equ-ny"
"300","advances in differential equations","253","1079-9389","0.763","0.633","0.727","-","-","-","adv differential equ"
"301","advances in ecological research","255","0065-2504","6.25","3.08","5.333","3.077","0.762","1.2","adv ecol res"
"302","advances in ecological research","255","0065-2504","6.25","3.08","5.333","3.077","0.762","1.2","adv ecol res"
"303","advances in electrical and computer engineering","256","1582-7445","0.642","0.552","0.555","0.688","0.509","-","adv electr comput en"
"304","advances in engineering software","260","0965-9978","1.422","1.22","1.092","1.004","1.045","1.188","adv eng softw"
"305","advances in genetics","263","0065-2660","5.41","4.85","-","2.453","-","-","adv genet"
"306","advances in genetics","263","0065-2660","5.41","4.85","-","2.453","-","-","adv genet"
"307","advances in geometry","264","1615-715X","0.314","0.371","0.338","0.4","0.386","0.324","adv geom"
"308","advances in geophysics","265","0065-2687","0.333","3.333","0.889","-","0.724","2.1","adv geophys"
"309","advances in geophysics","265","0065-2687","0.333","3.333","0.889","-","0.724","2.1","adv geophys"
"310","advances in health sciences education","266","1382-4996","2.705","2.061","2.089","1.416","1.412","1.254","adv health sci educ"
"311","advances in heterocyclic chemistry","268","0065-2725","2.8","2.478","1.818","1","2.375","1.35","adv heterocycl chem"
"312","advances in heterocyclic chemistry","268","0065-2725","2.8","2.478","1.818","1","2.375","1.35","adv heterocycl chem"
"313","advances in high energy physics","269","1687-7357","2.624","3.5","4.522","1.846","-","-","adv high energy phys"
"314","advances in human genetics","270","0065-275X","-","-","","-","-","-","adv hum genet"
"315","advances in imaging and electron physics","271","1076-5670","0.582","0.712","0.491","0.862","-","-","adv imag elect phys"
"316","advances in imaging and electron physics","271","1076-5670","0.582","0.712","0.491","0.862","-","-","adv imag electr phys"
"317","advances in imaging and electron physics","271","1076-5670","0.582","0.712","0.491","0.862","-","-","adv imag elect phys"
"318","advances in immunology","272","0065-2776","5.529","7.256","5.762","7.195","7.725","8.625","adv immunol"
"319","advances in immunology","272","0065-2776","5.529","7.256","5.762","7.195","7.725","8.625","adv immunol"
"320","advances in inorganic chemistry","273","0898-8838","2.556","2.714","3.048","3.5","1.714","4.214","adv inorg chem"
"321","advances in inorganic chemistry","273","0898-8838","2.556","2.714","3.048","3.5","1.714","4.214","adv inorg chem"
"322","advances in inorganic chemistry","273","0898-8838","2.556","2.714","3.048","3.5","1.714","4.214","adv inorg chem rad"
"323","advances in insect physiology","274","0065-2806","2.684","2.35","2.842","6.667","10.5","5","adv insect physiol"
"324","advances in insect physiology","274","0065-2806","2.684","2.35","2.842","6.667","10.5","5","adv insect physiol"
"325","advances in marine biology","275","0065-2881","5","2.048","2.043","-","3.9","4.909","adv mar biol"
"326","advances in marine biology","275","0065-2881","5","2.048","2.043","-","3.9","4.909","adv mar biol"
"327","advances in materials science and engineering","277","1687-8434","0.897","0.5","0.415","-","-","-","adv mater sci eng"
"328","advances in mathematical physics","280","1687-9120","0.532","0.459","-","-","-","-","adv math phys"
"329","advances in mathematics","281","0001-8708","1.353","1.373","1.177","1.372","1.403","1.28","adv math"
"330","advances in mathematics of communications","279","1930-5346","0.651","0.6","0.462","0.544","0.847","0.97","adv math commun"
"331","advances in mechanical engineering","282","1687-8132","0.5","1.062","-","-","-","-","adv mech eng"
"332","advances in mechanical engineering","282","1687-8132","0.5","1.062","-","-","-","-","lect n mech eng"
"333","advances in medical sciences","283","1896-1126","0.964","0.796","0.952","0.798","-","-","adv med sci"
"334","advances in medical sciences","283","1896-1126","0.964","0.796","0.952","0.798","-","-","adv med sci-poland"
"335","advances in meteorology","284","1687-9309","1.348","1.239","-","-","-","-","adv meteorol"
"336","advances in microbial ecology","285","0147-4863","-","-","","-","-","-","adv microb ecol"
"337","advances in microbial physiology","286","0065-2911","5.8","6.545","9.875","8.556","5.75","8.25","adv microb physiol"
"338","advances in microbial physiology","286","0065-2911","5.8","6.545","9.875","8.556","5.75","8.25","adv microb physiol"
"339","advances in nursing science","289","0161-9268","0.867","0.822","0.969","1.407","1.414","1.211","adv nurs sci"
"340","advances in nutrition","291","2161-8313","4.891","3.245","-","-","-","-","adv nutr"
"341","advances in optics and photonics","293","1943-8206","9.688","-","-","-","-","-","adv opt photonics"
"342","advances in organometallic chemistry","294","0065-3055","3.6","6.75","7","9.692","7.154","3.571","adv organomet chem"
"343","advances in organometallic chemistry","294","0065-3055","3.6","6.75","7","9.692","7.154","3.571","adv organomet chem"
"344","advances in parasitology","295","0065-308X","4.36","3.778","4.39","2.886","6.231","5.514","adv parasit"
"345","advances in parasitology","295","0065-308X","4.36","3.778","4.39","2.886","6.231","5.514","adv parasit"
"346","advances in physical organic chemistry","296","0065-3160","1.714","2.818","1.923","1","2","1.833","adv phys org chem"
"347","advances in physical organic chemistry","296","0065-3160","1.714","2.818","1.923","1","2","1.833","adv phys org chem"
"348","advances in physics","297","0001-8732","18.062","34.294","37","21.214","19.632","15.826","adv phys"
"349","advances in physiology education","298","1043-4046","1.237","1.217","1.547","1.382","1.542","1.483","adv physiol educ"
"350","advances in polymer science","299","0065-3195","3.674","3.648","3.89","6.723","4.6","6.802","adv polym sci"
"351","advances in polymer science","299","0065-3195","3.674","3.648","3.89","6.723","4.6","6.802","adv polym sci"
"352","advances in polymer technology","300","0730-6679","2.147","1.096","0.875","0.7","0.769","0.979","adv polym tech"
"353","advances in protein chemistry","303","0065-3233","-","-","-","0.75","3.2","3.875","adv protein chem"
"354","advances in protein chemistry","303","0065-3233","-","-","-","0.75","3.2","3.875","adv protein chem"
"355","advances in protein chemistry and structural biology","302","1876-1623","3.736","3.128","1.833","0.667","-","-","adv protein chem str"
"356","advances in protein chemistry and structural biology","302","1876-1623","3.736","3.128","1.833","0.667","-","-","adv protein chem str"
"357","advances in quantum chemistry","304","0065-3276","1.88","2.161","2.275","1.1","1.167","3","adv quantum chem"
"358","advances in quantum chemistry","304","0065-3276","1.88","2.161","2.275","1.1","1.167","3","adv quantum chem"
"359","advances in skin & wound care","307","1527-7941","1.634","1.5","1.438","-","-","-","adv skin wound care"
"360","advances in space research","308","0273-1177","1.238","1.183","1.178","1.076","1.079","0.86","adv space res"
"361","advances in space research","308","0273-1177","1.238","1.183","1.178","1.076","1.079","0.86","adv space res-series"
"362","advances in structural engineering","310","1369-4332","0.603","0.489","0.324","0.463","0.465","0.513",""
"363","advances in structural engineering","310","1369-4332","0.603","0.489","0.324","0.463","0.465","0.513","adv struct eng"
"364","advances in the study of behavior","311","0065-3454","2.692","3.182","3.367","5.87","5.167","2.5","adv stud behav"
"365","advances in the study of behavior","311","0065-3454","2.692","3.182","3.367","5.87","5.167","2.5","adv stud behav"
"366","advances in theoretical and mathematical physics","313","1095-0761","1.781","1.066","0.855","1.736","2.034","2.075","adv theor math phys"
"367","advances in therapy","314","0741-238X","2.438","2.125","2.105","1.668","0.936","0.973","adv ther"
"368","advances in vibration engineering","315","0972-5768","0.29","0.197","0.328","0.125","-","-","adv vib eng"
"369","advances in virus research","316","0065-3527","3.585","2.844","3.971","-","5.522","4.886","adv virus res"
"370","advances in virus research","316","0065-3527","3.585","2.844","3.971","-","5.522","4.886","adv virus res"
"371","advances in water resources","317","0309-1708","2.78","2.412","2.449","2.47","2.354","2.235","adv water resour"
"372","aeolian research","318","1875-9637","2.841","2.52","2.179","-","-","-","aeolian res"
"373","aequationes mathematicae","319","0001-9054","0.549","0.422","0.511","0.841","-","-","aequationes math"
"374","aerobiologia","320","0393-5965","1.202","1.333","1.515","1.052","1.173","1.086","aerobiologia"
"375","aeronautical journal","321","0001-9240","0.336","0.311","0.482","0.496","0.412","0.292","aeronaut j"
"376","aerosol and air quality research","322","1680-8584","2.664","-","2.827","1.792","-","-","aerosol air qual res"
"377","aerosol science and technology","323","0278-6826","3.155","2.78","2.667","2.34","2.739","2.686","aerosol sci tech"
"378","aerospace america","325","0740-722X","0.048","0.048","-","0.047","0.15","0.048","aerospace am"
"379","aerospace science and technology","324","1270-9638","1","0.873","0.983","0.59","0.674","0.74","aerosp sci technol"
"380","aesthetic plastic surgery","326","0364-216X","1.189","1.264","1.407","1.252","1.179","0.782","aesthet plast surg"
"381","aesthetic surgery journal","327","1090-820X","2.034","1.564","1.469","-","-","-","aesthet surg j"
"382","aeu-international journal of electronics and communications","328","1434-8411","0.696","0.551","0.588","0.519","0.508","0.371","aeu-int j electron c"
"383","afinidad","329","0001-9704","0.106","0.145","0.138","0.233","0.19","0.244","afinidad"
"384","african entomology","330","1021-3589","0.772","0.969","0.47","0.338","0.42","0.308","afr entomol"
