"","JOURNAL","INDEX","ISSN","2013/2014","2012","2011","2010","2009","2008","ABBREV"
"169","acta orthopaedica belgica","158","0001-6462","0.567","0.629","0.401","0.392","0.403","-","acta orthop belg"
"170","acta orthopaedica et traumatologica turcica","159","1017-995X","0.554","0.597","0.337","0.309","-","-","acta orthop traumato"
"171","acta ortopedica brasileira","161","1413-7852","0.156","-","0.698","-","-","-","acta ortop bras"
"172","acta oto-laryngologica","162","0001-6489","0.99","1.106","1.084","1.2","0.984","0.868","acta oto-laryngol"
"173","acta otorhinolaryngologica italica","163","0392-100X","1.439","0.786","0.863","0.427","-","-","acta otorhinolaryngo"
"174","acta paediatrica","164","0803-5253","1.842","1.974","2.073","1.955","1.768","1.517","acta paediatr"
"175","acta palaeontologica polonica","165","0567-7920","1.722","1.577","1.488","1.949","1.491","1.128","acta palaeontol pol"
"176","acta parasitologica","166","1230-2821","0.965","1","0.789","1.144","1.07","0.748","acta parasitol"
"177","acta paulista de enfermagem","167","0103-2100","0.267","0.142","0.273","0.204","-","-","acta paul enferm"
"178","acta petrologica sinica","168","1000-0569","1.224","1.117","-","-","-","-","acta petrol sin"
"179","acta pharmaceutica","169","1330-0075","1.025","1.162","0.912","1.312","-","-","acta pharmaceut"
"180","acta pharmacologica sinica","170","1671-4083","2.496","2.354","1.953","1.909","1.783","1.676","acta pharmacol sin"
"181","acta pharmacologica sinica","170","1671-4083","2.496","2.354","1.953","1.909","1.783","1.676","acta pharm sinic"
"182","acta physica polonica a","172","0587-4246","0.604","0.531","0.444","0.467","0.433","0.321","acta phys pol a"
"183","acta physica polonica b","173","0587-4254","0.998","1.011","0.901","0.671","0.648","0.767","acta phys pol b"
"184","acta physica sinica","174","1000-3290","0.845","1.016","1.027","1.259","1.003","1.165","acta phys sin-ch ed"
"185","acta physica slovaca","175","0323-0465","2","1.333","2.167","3.25","7.455","0.724","acta phys slovaca"
"186","acta physico-chimica sinica","171","1000-6818","0.886","0.869","0.78","0.734","0.718","0.673","acta phys-chim sin"
"187","acta physiologiae plantarum","177","0137-5881","1.524","1.305","1.639","1.344","1.232","0.807","acta physiol plant"
"188","acta physiologica","178","1748-1708","4.251","4.382","3.09","3.138","2.81","2.455","acta physiol"
"189","acta physiologica academiae scientiarum hungaricae","176","0231-424X","0.747","0.882","0.821","1.226","0.75","0.491","acta physiol hung"
"190","acta phytotaxonomica sinica","179","0529-1526","-","-","-","-","0.88","0","acta phytotaxon sin"
"191","acta poloniae pharmaceutica","180","0001-6837","0.693","0.665","0.663","0.465","0.347","-","acta pol pharm"
"192","acta polymerica sinica","181","1000-3304","0.639","0.677","0.769","0.481","0.437","0.565","acta polym sin"
"193","acta polytechnica hungarica","182","1785-8860","0.471","0.588","0.385","0.284","-","-","acta polytech hung"
"194","acta protozoologica","183","0065-1583","1.179","0.984","1.317","0.881","0.775","1.013","acta protozool"
"195","acta psychiatrica scandinavica","184","0001-690X","5.545","4.857","4.22","3.795","3.733","3.525","acta psychiat scand"
"196","acta radiologica","185","0284-1851","1.35","1.33","1.369","1.483","1.27","1.091","acta radiol"
"197","acta reumatologica portuguesa","186","0303-464X","0.831","0.695","0.547","0.451","0.726","-","acta reumatol port"
"198","acta scientiae veterinariae","190","1678-0345","0.154","0.273","0.207","0.127","-","-","acta sci vet"
"199","acta scientiarum-agronomy","187","1807-8621","0.631","0.365","-","-","-","-","acta sci-agron"
"200","acta scientiarum-technology","189","1806-2563","0.458","0.319","0.191","0.15","0.267","-","acta sci-technol"
"201","acta scientiarum polonorum-hortorum cultus","188","1644-0692","0.522","0.691","0.393","0.547","0.375","-","acta sci pol-hortoru"
"202","acta societatis botanicorum poloniae","191","0001-6977","1.195","0.585","0.36","0.256","0.434","0.418","acta soc bot pol"
"203","acta theriologica","192","0001-7051","1.161","0.949","0.89","0.985","0.987","1.118","acta theriol"
"204","acta tropica","193","0001-706X","2.519","2.787","2.722","2.262","2.221","1.707","acta trop"
"205","acta veterinaria-beograd","194","0567-8315","0.133","0.258","0.167","0.169","0.179","0.167","acta vet-beograd"
"206","acta veterinaria brno","195","0001-7213","0.448","0.393","0.431","0.534","0.403","0.395","acta vet brno"
"207","acta veterinaria hungarica","196","0236-6290","0.802","1.173","0.673","1.264","0.642","0.624","acta vet hung"
"208","acta veterinaria scandinavica","197","0044-605X","1.382","1.345","1.367","1.196","1","0.899","acta vet scand"
"209","acta virologica","198","0001-723X","1.037","0.759","0.682","0.547","0.746","0.81","acta virol"
"210","acta zoologica","201","0001-7272","1.296","1.471","1.133","1.13","1.365","1.333","acta zool-stockholm"
"211","acta zoologica academiae scientiarum hungaricae","199","1217-8837","0.263","0.472","0.564","0.474","0.514","0.522","acta zool acad sci h"
"212","acta zoologica academiae scientiarum hungaricae","199","1217-8837","0.263","0.472","0.564","0.474","0.514","0.522","acta zool hung"
"213","acta zoologica bulgarica","200","0324-0770","0.357","0.309","0.247","0.269","-","-","acta zool bulgar"
"214","actas espanolas de psiquiatria","202","1139-9287","0.759","0.452","0.589","0.695","0.515","0.446","actas esp psiquiatri"
"215","actas urologicas espanolas","203","0210-4806","1.148","1.144","0.455","0.274","-","-","actas urol esp"
"216","activity pattern analysis and exploration: travel behavior analysis and modeling","8707","0361-1981","-","0.442","0.471","0.482","0.298","0.259","transport res rec"
"217","actualite chimique","204","0151-9093","-","0.086","0.115","0.145","0.143","0.152","actual chimique"
"218","acupuncture & electro-therapeutics research","206","0360-1293","0.4","0.737","1.3","1","0.25","0.692","acupuncture electro"
"219","acupuncture in medicine","205","0964-5284","1.676","1.047","1.188","1.381","-","-","acupunct med"
"220","acute kidney injury","2218","0302-5144","1.534","1.485","1.487","1.274","1.782","1.83","contrib nephrol"
"221","ad hoc & sensor wireless networks","208","1551-9899","0.478","0.41","0.4","0.302","0.309","-","ad hoc sens wirel ne"
"222","ad hoc networks","207","1570-8705","1.943","1.456","2.11","1.592","1.293","-","ad hoc netw"
"223","ad hoc networks","207","1570-8705","1.943","1.456","2.11","1.592","1.293","-","l n inst comp sci so"
"224","adansonia","209","1280-8571","0.48","0.639","0.325","0.512","0.359","0.444","adansonia"
"225","adapted physical activity quarterly","211","0736-5829","1.079","1.125","1.487","1.189","0.947","0.837","adapt phys act q"
"226","adaptive behavior","210","1059-7123","1.151","1.113","1.019","1.136","1.911","1.152","adapt behav"
"227","addiction","214","0965-2140","4.596","4.577","4.313","4.145","3.842","4.244","addiction"
"228","addiction","214","0965-2140","4.596","4.577","4.313","4.145","3.842","4.244",""
"229","addiction biology","213","1369-1600","5.929","5.914","4.833","4.152","4.728","4.953","addict biol"
"230","addictive behaviors","212","0306-4603","2.441","2.021","2.085","2.133","2.248","1.846","addict behav"
"231","adicciones","215","0214-4840","1.167","1.015","0.8","1.127","-","-","adicciones"
"232","adsorption-journal of the international adsorption society","217","0929-5607","1.735","1.553","2","1.993","1.58","1.237","adsorption"
"233","adsorption science & technology","216","0263-6174","0.93","0.559","0.606","0.559","0.344","0.424","adsorpt sci technol"
"234","advanced composite materials","247","0924-3046","0.481","0.358","0.426","0.358","0.5","0.404","adv compos mater"
"235","advanced composites letters","246","0963-6935","-","0.422","0.432","0.277","0.311","0.27","adv compos lett"
"236","advanced drug delivery reviews","254","0169-409X","12.707","12.888","11.502","13.577","11.957","8.287","adv drug deliver rev"
"237","advanced energy materials","257","1614-6832","14.385","10.043","","-","-","-","adv energy mater"
"238","advanced engineering informatics","258","1474-0346","2.068","1.593","1.489","1.4","1.73","1.848","adv eng inform"
"239","advanced engineering materials","259","1438-1656","1.508","1.608","1.185","1.738","1.761","1.506","adv eng mater"
"240","advanced functional materials","262","1616-301X","10.439","9.765","10.179","8.486","6.99","6.808","adv funct mater"
"241","advanced healthcare materials","267","2192-2640","4.88","","-","-","-","-","adv healthc mater"
"242","advanced materials","278","0935-9648","15.409","14.829","13.877","10.857","8.379","8.191","adv mater"
"243","advanced materials & processes","276","0882-7958","0.253","0.15","0.066","0.178","0.199","0.129","adv mater process"
"244","advanced nonlinear studies","288","1536-1365","0.674","0.538","0.644","0.805","0.739","0.562","adv nonlinear stud"
"245","advanced optical materials","292","2195-1071","-","-","-","-","-","-","adv opt mater"
"246","advanced powder technology","301","0921-8831","1.642","1.65","1.612","0.84","0.636","0.716","adv powder technol"
"247","advanced powder technology","301","0921-8831","1.642","1.65","1.612","0.84","0.636","0.716","mater sci forum"
"248","advanced robotics","305","0169-1864","0.562","0.51","0.571","0.653","0.629","0.737","adv robotics"
"249","advanced steel construction","309","1816-112X","0.22","0.661","0.339","0.296","-","-","adv steel constr"
"250","advanced synthesis & catalysis","312","1615-4150","5.542","5.535","6.048","5.25","5.187","5.619","adv synth catal"
"251","advances in agronomy","218","0065-2113","5.021","5.06","5.204","3.64","3.8","3.114","adv agron"
"252","advances in agronomy","218","0065-2113","5.021","5.06","5.204","3.64","3.8","3.114","adv agron"
"253","advances in anatomic pathology","220","1072-4109","3.1","3.412","3.924","3.087","3.221","3.69","adv anat pathol"
"254","advances in anatomy embryology and cell biology","219","0301-5556","9.8","3.2","4","1.471","2.211","1.778","adv anat embryol cel"
"255","advances in anatomy embryology and cell biology","219","0301-5556","9.8","3.2","4","1.471","2.211","1.778","adv anat embryol cel"
"256","advances in applied ceramics","221","1743-6753","1.107","0.688","0.871","0.726","0.642","0.708","adv appl ceram"
"257","advances in applied clifford algebras","222","0188-7009","0.53","0.584","0.496","0.491","0.447","0.396","adv appl clifford al"
"258","advances in applied mathematics","224","0196-8858","0.878","0.838","0.843","0.8","0.931","0.696","adv appl math"
"259","advances in applied mathematics and mechanics","223","2070-0733","0.645","0.528","0.75","0.51","-","-","adv appl math mech"
"260","advances in applied mechanics","225","0065-2156","1.2","11.333","5","3","5.5","5","adv appl mech"
